Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2018-19,24/04/2019,Leganes,Ath Bilbao,0,1,A,0,1,A
2018-19,24/04/2019,Levante,Betis,4,0,H,2,0,H
2018-19,25/04/2019,Getafe,Real Madrid,0,0,D,0,0,D
2018-19,25/04/2019,Sevilla,Vallecano,5,0,H,0,0,D
2018-19,25/04/2019,Sociedad,Villarreal,0,1,A,0,0,D
2018-19,27/04/2019,Ath Bilbao,Alaves,1,1,D,1,1,D
2018-19,27/04/2019,Ath Madrid,Valladolid,1,0,H,0,0,D
2018-19,27/04/2019,Barcelona,Levante,1,0,H,0,0,D
2018-19,27/04/2019,Leganes,Celta,0,0,D,0,0,D
2018-19,28/04/2019,Girona,Sevilla,1,0,H,0,0,D
2018-19,28/04/2019,Sociedad,Getafe,2,1,H,1,0,H
2018-19,28/04/2019,Valencia,Eibar,0,1,A,0,0,D
2018-19,28/04/2019,Vallecano,Real Madrid,1,0,H,1,0,H
2018-19,28/04/2019,Villarreal,Huesca,1,1,D,1,0,H
2018-19,29/04/2019,Betis,Espanol,1,1,D,0,1,A
2018-19,3/5/19,Sevilla,Leganes,0,3,A,0,2,A
2018-19,4/5/19,Alaves,Sociedad,0,1,A,0,1,A
2018-19,4/5/19,Celta,Barcelona,2,0,H,0,0,D
2018-19,4/5/19,Espanol,Ath Madrid,3,0,H,1,0,H
2018-19,4/5/19,Levante,Vallecano,4,1,H,2,0,H
2018-19,5/5/19,Eibar,Betis,1,0,H,1,0,H
2018-19,5/5/19,Getafe,Girona,2,0,H,1,0,H
2018-19,5/5/19,Huesca,Valencia,2,6,A,0,5,A
2018-19,5/5/19,Real Madrid,Villarreal,3,2,H,2,1,H
2018-19,5/5/19,Valladolid,Ath Bilbao,1,0,H,1,0,H
2018-19,12/5/19,Ath Bilbao,Celta,3,1,H,3,0,H
2018-19,12/5/19,Ath Madrid,Sevilla,1,1,D,1,0,H
2018-19,12/5/19,Barcelona,Getafe,2,0,H,1,0,H
2018-19,12/5/19,Betis,Huesca,2,1,H,1,0,H
2018-19,12/5/19,Girona,Levante,1,2,A,0,0,D
2018-19,12/5/19,Leganes,Espanol,0,2,A,0,1,A
2018-19,12/5/19,Sociedad,Real Madrid,3,1,H,1,1,D
2018-19,12/5/19,Valencia,Alaves,3,1,H,2,1,H
2018-19,12/5/19,Vallecano,Valladolid,1,2,A,0,1,A
2018-19,12/5/19,Villarreal,Eibar,1,0,H,0,0,D
2018-19,18/05/2019,Alaves,Girona,2,1,H,1,0,H
2018-19,18/05/2019,Celta,Vallecano,2,2,D,0,1,A
2018-19,18/05/2019,Espanol,Sociedad,2,0,H,0,0,D
2018-19,18/05/2019,Getafe,Villarreal,2,2,D,1,1,D
2018-19,18/05/2019,Huesca,Leganes,2,1,H,0,1,A
2018-19,18/05/2019,Levante,Ath Madrid,2,2,D,2,0,H
2018-19,18/05/2019,Sevilla,Ath Bilbao,2,0,H,1,0,H
2018-19,18/05/2019,Valladolid,Valencia,0,2,A,0,1,A
2018-19,19/05/2019,Eibar,Barcelona,2,2,D,2,2,D
2018-19,19/05/2019,Real Madrid,Betis,0,2,A,0,0,D
